schema_name,table_name,column_name,ordinal_position,data_type,is_nullable
features,dummyjson_user_features,total_discounted_cart_value,4,DOUBLE,YES
features,dummyjson_user_features,total_products_in_carts,5,HUGEINT,YES
features,dummyjson_user_features,total_quantity_in_carts,6,HUGEINT,YES
features,dummyjson_user_features,avg_cart_value,7,DOUBLE,YES
features,dummyjson_user_features,avg_cart_quantity,8,DOUBLE,YES
features,dummyjson_user_features,user_total_interactions,9,BIGINT,YES
features,dummyjson_user_features,user_unique_items,10,BIGINT,YES
features,dummyjson_user_features,user_total_quantity,11,DOUBLE,YES
features,dummyjson_user_features,user_total_revenue,12,DOUBLE,YES
features,dummyjson_user_features,user_avg_quantity_per_interaction,13,DOUBLE,YES
features,dummyjson_user_features,user_avg_line_total,14,DOUBLE,YES
features,retailrocket_item_features,item_id,1,BIGINT,YES
features,retailrocket_item_features,total_events,2,BIGINT,YES
features,retailrocket_item_features,unique_users,3,BIGINT,YES
features,retailrocket_item_features,view_events,4,HUGEINT,YES
features,retailrocket_item_features,addtocart_events,5,HUGEINT,YES
features,retailrocket_item_features,transaction_events,6,HUGEINT,YES
features,retailrocket_item_features,total_interaction_score,7,"DECIMAL(38,1)",YES
features,retailrocket_item_features,avg_interaction_weight,8,DOUBLE,YES
features,retailrocket_item_features,first_event_timestamp_ms,9,BIGINT,YES
features,retailrocket_item_features,last_event_timestamp_ms,10,BIGINT,YES
features,retailrocket_item_features,first_event_datetime,11,TIMESTAMP WITH TIME ZONE,YES
features,retailrocket_item_features,last_event_datetime,12,TIMESTAMP WITH TIME ZONE,YES
features,retailrocket_item_features,category_id,13,BIGINT,YES
features,retailrocket_item_features,parent_category_id,14,BIGINT,YES
features,retailrocket_item_features,is_available,15,INTEGER,YES
features,retailrocket_item_features,available_raw_value,16,VARCHAR,YES
features,retailrocket_item_features,has_category_metadata,17,INTEGER,YES
features,retailrocket_item_features,has_availability_metadata,18,INTEGER,YES
features,retailrocket_item_features,addtocart_rate,19,DOUBLE,YES
features,retailrocket_item_features,transaction_rate,20,DOUBLE,YES
features,retailrocket_item_features,cart_to_transaction_rate,21,DOUBLE,YES
features,retailrocket_user_features,user_id,1,BIGINT,YES
features,retailrocket_user_features,total_events,2,BIGINT,YES
features,retailrocket_user_features,unique_items,3,BIGINT,YES
features,retailrocket_user_features,view_events,4,HUGEINT,YES
features,retailrocket_user_features,addtocart_events,5,HUGEINT,YES
features,retailrocket_user_features,transaction_events,6,HUGEINT,YES
features,retailrocket_user_features,total_interaction_score,7,"DECIMAL(38,1)",YES
features,retailrocket_user_features,avg_interaction_weight,8,DOUBLE,YES
features,retailrocket_user_features,first_event_timestamp_ms,9,BIGINT,YES
features,retailrocket_user_features,last_event_timestamp_ms,10,BIGINT,YES
features,retailrocket_user_features,first_event_datetime,11,TIMESTAMP WITH TIME ZONE,YES
features,retailrocket_user_features,last_event_datetime,12,TIMESTAMP WITH TIME ZONE,YES
features,retailrocket_user_features,active_days,13,BIGINT,YES
features,retailrocket_user_features,addtocart_event_rate,14,DOUBLE,YES
features,retailrocket_user_features,transaction_event_rate,15,DOUBLE,YES
features,retailrocket_user_features,events_per_unique_item,16,DOUBLE,YES
features,retailrocket_user_item_features,user_id,1,BIGINT,YES
features,retailrocket_user_item_features,item_id,2,BIGINT,YES
features,retailrocket_user_item_features,total_events,3,BIGINT,YES
features,retailrocket_user_item_features,view_count,4,HUGEINT,YES
features,retailrocket_user_item_features,addtocart_count,5,HUGEINT,YES
features,retailrocket_user_item_features,transaction_count,6,HUGEINT,YES
features,retailrocket_user_item_features,interaction_score,7,"DECIMAL(38,1)",YES
features,retailrocket_user_item_features,max_event_weight,8,"DECIMAL(2,1)",YES
features,retailrocket_user_item_features,first_event_timestamp_ms,9,BIGINT,YES
features,retailrocket_user_item_features,last_event_timestamp_ms,10,BIGINT,YES
features,retailrocket_user_item_features,first_event_datetime,11,TIMESTAMP WITH TIME ZONE,YES
features,retailrocket_user_item_features,last_event_datetime,12,TIMESTAMP WITH TIME ZONE,YES
features,retailrocket_user_item_features,has_transaction,13,INTEGER,YES
features,retailrocket_user_item_features,has_addtocart,14,INTEGER,YES
features,retailrocket_user_item_features,category_id,15,BIGINT,YES
features,retailrocket_user_item_features,parent_category_id,16,BIGINT,YES
features,retailrocket_user_item_features,is_available,17,INTEGER,YES
features,retailrocket_user_item_features,has_category_metadata,18,INTEGER,YES
features,retailrocket_user_item_features,has_availability_metadata,19,INTEGER,YES
features,retailrocket_user_item_features,user_item_addtocart_rate,20,DOUBLE,YES
features,retailrocket_user_item_features,user_item_transaction_rate,21,DOUBLE,YES
features,retailrocket_user_item_features,user_item_cart_to_transaction_rate,22,DOUBLE,YES
features,retailrocket_user_item_features,implicit_label,23,"DECIMAL(2,1)",YES
features,retailrocket_user_item_features,strongest_event_type,24,VARCHAR,YES
mart,dummyjson_interactions,user_id,1,BIGINT,YES
mart,dummyjson_interactions,item_id,2,BIGINT,YES
mart,dummyjson_interactions,cart_id,3,BIGINT,YES
mart,dummyjson_interactions,event_type,4,VARCHAR,YES
mart,dummyjson_interactions,interaction_weight,5,DOUBLE,YES
mart,dummyjson_interactions,price,6,DOUBLE,YES
mart,dummyjson_interactions,line_total,7,DOUBLE,YES
mart,dummyjson_interactions,line_discounted_total,8,DOUBLE,YES
mart,dummyjson_interactions,_source_system,9,VARCHAR,YES
mart,dummyjson_interactions,_source_file,10,VARCHAR,YES
mart,dummyjson_interactions,_prepared_at,11,VARCHAR,YES
mart,dummyjson_item_features,item_id,1,BIGINT,YES
mart,dummyjson_item_features,title,2,VARCHAR,YES
mart,dummyjson_item_features,description,3,VARCHAR,YES
mart,dummyjson_item_features,category,4,VARCHAR,YES
mart,dummyjson_item_features,price,5,DOUBLE,YES
mart,dummyjson_item_features,discount_percentage,6,DOUBLE,YES
mart,dummyjson_item_features,rating,7,DOUBLE,YES
mart,dummyjson_item_features,stock,8,BIGINT,YES
mart,dummyjson_item_features,brand,9,VARCHAR,YES
mart,dummyjson_item_features,sku,10,VARCHAR,YES
mart,dummyjson_item_features,availability_status,11,VARCHAR,YES
mart,dummyjson_item_features,minimum_order_quantity,12,BIGINT,YES
mart,dummyjson_item_features,_source_system,13,VARCHAR,YES
mart,dummyjson_item_features,_source_file,14,VARCHAR,YES
mart,dummyjson_item_features,_prepared_at,15,VARCHAR,YES
mart,dummyjson_user_cart_features,user_id,1,BIGINT,YES
mart,dummyjson_user_cart_features,cart_count,2,BIGINT,YES
mart,dummyjson_user_cart_features,total_cart_value,3,DOUBLE,YES
mart,dummyjson_user_cart_features,total_discounted_cart_value,4,DOUBLE,YES
mart,dummyjson_user_cart_features,total_products_in_carts,5,HUGEINT,YES
mart,dummyjson_user_cart_features,total_quantity_in_carts,6,HUGEINT,YES
mart,dummyjson_user_cart_features,avg_cart_value,7,DOUBLE,YES
mart,dummyjson_user_cart_features,avg_cart_quantity,8,DOUBLE,YES
mart,retailrocket_interactions,user_id,1,BIGINT,YES
mart,retailrocket_interactions,item_id,2,BIGINT,YES
mart,retailrocket_interactions,event_type,3,VARCHAR,YES
mart,retailrocket_interactions,event_timestamp_ms,4,BIGINT,YES
mart,retailrocket_interactions,event_datetime,5,TIMESTAMP WITH TIME ZONE,YES
mart,retailrocket_interactions,transaction_id,6,BIGINT,YES
mart,retailrocket_interactions,interaction_weight,7,"DECIMAL(2,1)",YES
mart,retailrocket_interactions,_source_system,8,VARCHAR,YES
mart,retailrocket_interactions,_source_file,9,VARCHAR,YES
mart,retailrocket_item_features,item_id,1,BIGINT,YES
mart,retailrocket_item_features,total_events,2,BIGINT,YES
mart,retailrocket_item_features,unique_users,3,BIGINT,YES
mart,retailrocket_item_features,view_events,4,HUGEINT,YES
mart,retailrocket_item_features,addtocart_events,5,HUGEINT,YES
mart,retailrocket_item_features,transaction_events,6,HUGEINT,YES
mart,retailrocket_item_features,total_interaction_score,7,"DECIMAL(38,1)",YES
mart,retailrocket_item_features,avg_interaction_weight,8,DOUBLE,YES
mart,retailrocket_item_features,first_event_timestamp_ms,9,BIGINT,YES
mart,retailrocket_item_features,last_event_timestamp_ms,10,BIGINT,YES
mart,retailrocket_item_features,first_event_datetime,11,TIMESTAMP WITH TIME ZONE,YES
mart,retailrocket_item_features,last_event_datetime,12,TIMESTAMP WITH TIME ZONE,YES
mart,retailrocket_item_features,category_id,13,BIGINT,YES
mart,retailrocket_item_features,parent_category_id,14,BIGINT,YES
mart,retailrocket_item_features,is_available,15,INTEGER,YES
mart,retailrocket_item_features,available_raw_value,16,VARCHAR,YES
mart,retailrocket_item_features,has_category_metadata,17,INTEGER,YES
mart,retailrocket_item_features,has_availability_metadata,18,INTEGER,YES
mart,retailrocket_user_features,user_id,1,BIGINT,YES
mart,retailrocket_user_features,total_events,2,BIGINT,YES
mart,retailrocket_user_features,unique_items,3,BIGINT,YES
mart,retailrocket_user_features,view_events,4,HUGEINT,YES
mart,retailrocket_user_features,addtocart_events,5,HUGEINT,YES
mart,retailrocket_user_features,transaction_events,6,HUGEINT,YES
mart,retailrocket_user_features,total_interaction_score,7,"DECIMAL(38,1)",YES
mart,retailrocket_user_features,avg_interaction_weight,8,DOUBLE,YES
mart,retailrocket_user_features,first_event_timestamp_ms,9,BIGINT,YES
mart,retailrocket_user_features,last_event_timestamp_ms,10,BIGINT,YES
mart,retailrocket_user_features,first_event_datetime,11,TIMESTAMP WITH TIME ZONE,YES
mart,retailrocket_user_features,last_event_datetime,12,TIMESTAMP WITH TIME ZONE,YES
mart,retailrocket_user_item_interactions,user_id,1,BIGINT,YES
mart,retailrocket_user_item_interactions,item_id,2,BIGINT,YES
mart,retailrocket_user_item_interactions,total_events,3,BIGINT,YES
mart,retailrocket_user_item_interactions,view_count,4,HUGEINT,YES
mart,retailrocket_user_item_interactions,addtocart_count,5,HUGEINT,YES
mart,retailrocket_user_item_interactions,transaction_count,6,HUGEINT,YES
mart,retailrocket_user_item_interactions,interaction_score,7,"DECIMAL(38,1)",YES
mart,retailrocket_user_item_interactions,max_event_weight,8,"DECIMAL(2,1)",YES
mart,retailrocket_user_item_interactions,first_event_timestamp_ms,9,BIGINT,YES
mart,retailrocket_user_item_interactions,last_event_timestamp_ms,10,BIGINT,YES
mart,retailrocket_user_item_interactions,first_event_datetime,11,TIMESTAMP WITH TIME ZONE,YES
mart,retailrocket_user_item_interactions,last_event_datetime,12,TIMESTAMP WITH TIME ZONE,YES
mart,retailrocket_user_item_interactions,has_transaction,13,INTEGER,YES
mart,retailrocket_user_item_interactions,has_addtocart,14,INTEGER,YES
staged,dummyjson_cart_items,cart_id,1,BIGINT,YES
staged,dummyjson_cart_items,user_id,2,BIGINT,YES
staged,dummyjson_cart_items,product_id,3,BIGINT,YES
staged,dummyjson_cart_items,product_title,4,VARCHAR,YES
staged,dummyjson_cart_items,price,5,DOUBLE,YES
staged,dummyjson_cart_items,quantity,6,BIGINT,YES
staged,dummyjson_cart_items,total,7,DOUBLE,YES
staged,dummyjson_cart_items,discount_percentage,8,DOUBLE,YES
staged,dummyjson_cart_items,discounted_total,9,DOUBLE,YES
staged,dummyjson_cart_items,thumbnail,10,VARCHAR,YES
staged,dummyjson_cart_items,_source_system,11,VARCHAR,YES
staged,dummyjson_cart_items,_source_file,12,VARCHAR,YES
staged,dummyjson_cart_items,_prepared_at,13,VARCHAR,YES
staged,dummyjson_carts,cart_id,1,BIGINT,YES
staged,dummyjson_carts,user_id,2,BIGINT,YES
staged,dummyjson_carts,total,3,DOUBLE,YES
staged,dummyjson_carts,discounted_total,4,DOUBLE,YES
staged,dummyjson_carts,total_products,5,BIGINT,YES
staged,dummyjson_carts,total_quantity,6,BIGINT,YES
staged,dummyjson_carts,_source_system,7,VARCHAR,YES
staged,dummyjson_carts,_source_file,8,VARCHAR,YES
staged,dummyjson_carts,_prepared_at,9,VARCHAR,YES
staged,dummyjson_products,id,1,BIGINT,YES
staged,dummyjson_products,title,2,VARCHAR,YES
staged,dummyjson_products,description,3,VARCHAR,YES
staged,dummyjson_products,category,4,VARCHAR,YES
staged,dummyjson_products,price,5,DOUBLE,YES
staged,dummyjson_products,discountPercentage,6,DOUBLE,YES
staged,dummyjson_products,rating,7,DOUBLE,YES
staged,dummyjson_products,stock,8,BIGINT,YES
staged,dummyjson_products,tags,9,VARCHAR[],YES
staged,dummyjson_products,brand,10,VARCHAR,YES
staged,dummyjson_products,sku,11,VARCHAR,YES
staged,dummyjson_products,weight,12,BIGINT,YES
staged,dummyjson_products,warrantyInformation,13,VARCHAR,YES
staged,dummyjson_products,shippingInformation,14,VARCHAR,YES
staged,dummyjson_products,availabilityStatus,15,VARCHAR,YES
staged,dummyjson_products,reviews,16,"STRUCT(""comment"" VARCHAR, date VARCHAR, rating BIGINT, reviewerEmail VARCHAR, reviewerName VARCHAR)[]",YES
staged,dummyjson_products,returnPolicy,17,VARCHAR,YES
staged,dummyjson_products,minimumOrderQuantity,18,BIGINT,YES
staged,dummyjson_products,images,19,VARCHAR[],YES
staged,dummyjson_products,thumbnail,20,VARCHAR,YES
staged,dummyjson_products,dimensions.width,21,DOUBLE,YES
staged,dummyjson_products,dimensions.height,22,DOUBLE,YES
staged,dummyjson_products,dimensions.depth,23,DOUBLE,YES
staged,dummyjson_products,meta.createdAt,24,VARCHAR,YES
staged,dummyjson_products,meta.updatedAt,25,VARCHAR,YES
staged,dummyjson_products,meta.barcode,26,VARCHAR,YES
staged,dummyjson_products,meta.qrCode,27,VARCHAR,YES
staged,dummyjson_products,_source_system,28,VARCHAR,YES
staged,dummyjson_products,_source_file,29,VARCHAR,YES
staged,dummyjson_products,_prepared_at,30,VARCHAR,YES
staged,dummyjson_users,id,1,BIGINT,YES
staged,dummyjson_users,firstName,2,VARCHAR,YES
staged,dummyjson_users,lastName,3,VARCHAR,YES
staged,dummyjson_users,maidenName,4,VARCHAR,YES
staged,dummyjson_users,age,5,BIGINT,YES
staged,dummyjson_users,gender,6,VARCHAR,YES
staged,dummyjson_users,email,7,VARCHAR,YES
staged,dummyjson_users,phone,8,VARCHAR,YES
staged,dummyjson_users,username,9,VARCHAR,YES
staged,dummyjson_users,password,10,VARCHAR,YES
staged,dummyjson_users,birthDate,11,VARCHAR,YES
staged,dummyjson_users,image,12,VARCHAR,YES
staged,dummyjson_users,bloodGroup,13,VARCHAR,YES
staged,dummyjson_users,height,14,DOUBLE,YES
staged,dummyjson_users,weight,15,DOUBLE,YES
staged,dummyjson_users,eyeColor,16,VARCHAR,YES
staged,dummyjson_users,ip,17,VARCHAR,YES
staged,dummyjson_users,macAddress,18,VARCHAR,YES
staged,dummyjson_users,university,19,VARCHAR,YES
staged,dummyjson_users,ein,20,VARCHAR,YES
staged,dummyjson_users,ssn,21,VARCHAR,YES
staged,dummyjson_users,userAgent,22,VARCHAR,YES
staged,dummyjson_users,role,23,VARCHAR,YES
staged,dummyjson_users,hair.color,24,VARCHAR,YES
staged,dummyjson_users,hair.type,25,VARCHAR,YES
staged,dummyjson_users,address.address,26,VARCHAR,YES
staged,dummyjson_users,address.city,27,VARCHAR,YES
staged,dummyjson_users,address.state,28,VARCHAR,YES
staged,dummyjson_users,address.stateCode,29,VARCHAR,YES
staged,dummyjson_users,address.postalCode,30,VARCHAR,YES
staged,dummyjson_users,address.coordinates.lat,31,DOUBLE,YES
staged,dummyjson_users,address.coordinates.lng,32,DOUBLE,YES
staged,dummyjson_users,address.country,33,VARCHAR,YES
staged,dummyjson_users,bank.cardExpire,34,VARCHAR,YES
staged,dummyjson_users,bank.cardNumber,35,VARCHAR,YES
staged,dummyjson_users,bank.cardType,36,VARCHAR,YES
staged,dummyjson_users,bank.currency,37,VARCHAR,YES
staged,dummyjson_users,bank.iban,38,VARCHAR,YES
staged,dummyjson_users,company.department,39,VARCHAR,YES
staged,dummyjson_users,company.name,40,VARCHAR,YES
staged,dummyjson_users,company.title,41,VARCHAR,YES
staged,dummyjson_users,company.address.address,42,VARCHAR,YES
staged,dummyjson_users,company.address.city,43,VARCHAR,YES
staged,dummyjson_users,company.address.state,44,VARCHAR,YES
staged,dummyjson_users,company.address.stateCode,45,VARCHAR,YES
staged,dummyjson_users,company.address.postalCode,46,VARCHAR,YES
staged,dummyjson_users,company.address.coordinates.lat,47,DOUBLE,YES
staged,dummyjson_users,company.address.coordinates.lng,48,DOUBLE,YES
staged,dummyjson_users,company.address.country,49,VARCHAR,YES
staged,dummyjson_users,crypto.coin,50,VARCHAR,YES
staged,dummyjson_users,crypto.wallet,51,VARCHAR,YES
staged,dummyjson_users,crypto.network,52,VARCHAR,YES
staged,dummyjson_users,_source_system,53,VARCHAR,YES
staged,dummyjson_users,_source_file,54,VARCHAR,YES
staged,dummyjson_users,_prepared_at,55,VARCHAR,YES
staged,retailrocket_category_tree,category_id,1,BIGINT,YES
staged,retailrocket_category_tree,parent_category_id,2,BIGINT,YES
staged,retailrocket_category_tree,is_root_category,3,INTEGER,YES
staged,retailrocket_category_tree,_source_system,4,VARCHAR,YES
staged,retailrocket_category_tree,_source_file,5,VARCHAR,YES
staged,retailrocket_events,event_timestamp_ms,1,BIGINT,YES
staged,retailrocket_events,event_datetime,2,TIMESTAMP WITH TIME ZONE,YES
staged,retailrocket_events,visitor_id,3,BIGINT,YES
staged,retailrocket_events,event_type,4,VARCHAR,YES
staged,retailrocket_events,item_id,5,BIGINT,YES
staged,retailrocket_events,transaction_id,6,BIGINT,YES
staged,retailrocket_events,_source_system,7,VARCHAR,YES
staged,retailrocket_events,_source_file,8,VARCHAR,YES
staged,retailrocket_item_availability_latest,item_id,1,BIGINT,YES
staged,retailrocket_item_availability_latest,available_raw_value,2,VARCHAR,YES
staged,retailrocket_item_availability_latest,is_available,3,INTEGER,YES
staged,retailrocket_item_availability_latest,availability_timestamp_ms,4,BIGINT,YES
staged,retailrocket_item_availability_latest,availability_datetime,5,TIMESTAMP WITH TIME ZONE,YES
staged,retailrocket_item_availability_latest,_source_system,6,VARCHAR,YES
staged,retailrocket_item_availability_latest,_source_file,7,VARCHAR,YES
staged,retailrocket_item_category_latest,item_id,1,BIGINT,YES
staged,retailrocket_item_category_latest,category_id,2,BIGINT,YES
staged,retailrocket_item_category_latest,category_timestamp_ms,3,BIGINT,YES
staged,retailrocket_item_category_latest,category_datetime,4,TIMESTAMP WITH TIME ZONE,YES
staged,retailrocket_item_category_latest,_source_system,5,VARCHAR,YES
staged,retailrocket_item_category_latest,_source_file,6,VARCHAR,YES
staged,retailrocket_item_properties_selected,property_timestamp_ms,1,BIGINT,YES
staged,retailrocket_item_properties_selected,property_datetime,2,TIMESTAMP WITH TIME ZONE,YES
staged,retailrocket_item_properties_selected,item_id,3,BIGINT,YES
staged,retailrocket_item_properties_selected,property_name,4,VARCHAR,YES
staged,retailrocket_item_properties_selected,property_value,5,VARCHAR,YES
staged,retailrocket_item_properties_selected,_source_part,6,VARCHAR,YES
staged,retailrocket_item_properties_selected,_source_system,7,VARCHAR,YES
